Part_Number,Vendor,Description,Months_of_Supply
818320,3143 - A & I PRODUCTS   EXP,A-AH234554 MIDDLE AUGER,2
819003,3143 - A & I PRODUCTS   EXP,A-1319169C1 AUGER,2
819015,3143 - A & I PRODUCTS   EXP,A-191734C1 AUGER,2
819308,3143 - A & I PRODUCTS   EXP,A-AH141577 AUGER,2
819310,3143 - A & I PRODUCTS   EXP,A-AH141576 AUGER,2
819314,3143 - A & I PRODUCTS   EXP,A-AH219339 AUGER,2
81954,3143 - A & I PRODUCTS   EXP,A-AR81954 SPINDL,2
820020,3143 - A & I PRODUCTS   EXP,A-B93418 ROTOR BAR,2
820053,3143 - A & I PRODUCTS   EXP,A-1302103C1 BAR,2
820218,3143 - A & I PRODUCTS   EXP,A-V12044C BARS,2
820226,3143 - A & I PRODUCTS   EXP,A-V12068H CYLBAR,2
820227,3143 - A & I PRODUCTS   EXP,A-V12068C CYLBAR,2
820229,3143 - A & I PRODUCTS   EXP,A-V12072H CYLBAR,2
820230,3143 - A & I PRODUCTS   EXP,A-V12072C CYLBAR,2
820351,3143 - A & I PRODUCTS   EXP,A-H166181 BEATER WING SPPRT,2
820354,3143 - A & I PRODUCTS   EXP,A-H221379 BEATER WING SPPRT,2
820362,3143 - A & I PRODUCTS   EXP,A-H201914 FRONT FEED ACCEL BLADE,2
820363,3143 - A & I PRODUCTS   EXP,A-HXE111121 FEED ACC BLADE,2
820364,3143 - A & I PRODUCTS   EXP,A-H165407 FRONT FEED ACCEL BLADE,2
820368,3143 - A & I PRODUCTS   EXP,A-H236284 REAR DISCHARGE BEATER BLADE,2
820369,3143 - A & I PRODUCTS   EXP,A-H236279 REAR DISCHARGE BEATER BLADE,2
820381,3143 - A & I PRODUCTS   EXP,A-AH167739-H5RB,2
823430,3143 - A & I PRODUCTS   EXP,A-AXE18077 AUGER,2
823431,3143 - A & I PRODUCTS   EXP,A-AXE18078 AUGE,2
823437,3143 - A & I PRODUCTS   EXP,A-AXE18081 AUGER,2
840006,3143 - A & I PRODUCTS   EXP,A-249275A1 AUGER,2
840009,3143 - A & I PRODUCTS   EXP,A-87733275 AUGER,2
840010,3143 - A & I PRODUCTS   EXP,A-1321557C2 TUBE,2
840011,3143 - A & I PRODUCTS   EXP,A-1321560C3 TUBE,2
840012,3143 - A & I PRODUCTS   EXP,A-199006A2 TUBE,2
845016,3143 - A & I PRODUCTS   EXP,A-321933A1 VANE,2
845023,3143 - A & I PRODUCTS   EXP,A-428875A2 VANES,2
847083,3143 - A & I PRODUCTS   EXP,A-199497C1 SPROCKET,2
847152,3143 - A & I PRODUCTS   EXP,86619126 IDLER SPROCKET,2
847305,3143 - A & I PRODUCTS   EXP,A-H63578 SPROCKE,2
847309,3143 - A & I PRODUCTS   EXP,A-H91334 SPROCKE,2
847313,3143 - A & I PRODUCTS   EXP,A-H99472 SPROCKE,2
847315,3143 - A & I PRODUCTS   EXP,33143 SPROCK,2
847316,3143 - A & I PRODUCTS   EXP,A-H228383 SPROCKET,2
847317,3143 - A & I PRODUCTS   EXP,A-H134603 SPROCK,2
847320,3143 - A & I PRODUCTS   EXP,A-H228385 SPRKT,2
847321,3143 - A & I PRODUCTS   EXP,A-H85252 SPROCKET,2
847322,3143 - A & I PRODUCTS   EXP,A-H233287 SPROCK,2
847323,3143 - A & I PRODUCTS   EXP,A-AXE36872 SPROCKET,2
847324,3143 - A & I PRODUCTS   EXP,A-KXE10258 SPROCKET,2
847355,3143 - A & I PRODUCTS   EXP,A-H118583 SPROCK,2
847362,3143 - A & I PRODUCTS   EXP,A-H159613 SPROC,2
847460,3143 - A & I PRODUCTS   EXP,A-H171186 CLEANING SHOE DR SHAFT,2
847800,3143 - A & I PRODUCTS   EXP,A-AE39654  40T SPROCKET 60C,2
847801,3143 - A & I PRODUCTS   EXP,A-AE54301 24T SPROCKET 60C,2
847802,3143 - A & I PRODUCTS   EXP,A-AE74596 30T SPROCKET 80C,2
847803,3143 - A & I PRODUCTS   EXP,A-AXE15284 12T SPROCKET 80C,2
847804,3143 - A & I PRODUCTS   EXP,A-541857R92 15T SPROCKET ,2
847810,3143 - A & I PRODUCTS   EXP,A-AE39301 17T DBL SPROCKET 60C,2
847811,3143 - A & I PRODUCTS   EXP,A-AE54302 40T&24T DBL SPRCKT,2
847812,3143 - A & I PRODUCTS   EXP,A-AFH207881 13T DBL SPRCKT,2
847813,3143 - A & I PRODUCTS   EXP,A-AE39652 40T&20T DBL SPRCKT,2
847814,3143 - A & I PRODUCTS   EXP,A-AE74597 13T DBL SPRCKT 80C,2
847815,3143 - A & I PRODUCTS   EXP,A-AE74598 30T&24T DBL SPRCKT,2
848010,3143 - A & I PRODUCTS   EXP,A-AH97031 FLAT IDLER,2
849010,3143 - A & I PRODUCTS   EXP,A-CCIHCB BOLT KI,2
849013,3143 - A & I PRODUCTS   EXP,A-365928A2 CONE,2
849018,3143 - A & I PRODUCTS   EXP,A-428878A1 CONE,2
850026,3143 - A & I PRODUCTS   EXP,A-B94097 SET,2
850028,3143 - A & I PRODUCTS   EXP,A-B95480 VANE KIT,2
850030,3143 - A & I PRODUCTS   EXP,A-B94098 VANE SET,2
850033,3143 - A & I PRODUCTS   EXP,A-348503A1 VANE,2
851007,3143 - A & I PRODUCTS   EXP,A-87325666 AUGER,2
851301,3143 - A & I PRODUCTS   EXP,A-AH124852 AUGER,2
852005,3143 - A & I PRODUCTS   EXP,A-B94525 WEARBAR,2
852020,3143 - A & I PRODUCTS   EXP,87376702 IMPELLER WEAR BAR KIT,2
853004,3143 - A & I PRODUCTS   EXP,A-B94626 BLOCK,2
853010,3143 - A & I PRODUCTS   EXP,A-192056C1 PAN,2
853300,3143 - A & I PRODUCTS   EXP,A-H119613 WOOD BLOCK BRG,2
853302,3143 - A & I PRODUCTS   EXP,A-H140070 WOOD BLOCK BRG,2
853303,3143 - A & I PRODUCTS   EXP,A-H140677-SET BL,2
853304,3143 - A & I PRODUCTS   EXP,A-AH168158 WOOD BLOCK BRG,2
853354,3143 - A & I PRODUCTS   EXP,A-AH146786 AUGER,2
853355,3143 - A & I PRODUCTS   EXP,A-AH146787 AUGER,2
854305,3143 - A & I PRODUCTS   EXP,A-AH209840 WALKER,2
856302,3143 - A & I PRODUCTS   EXP,A-AH127729 AUGER,2
856315,3143 - A & I PRODUCTS   EXP,A-AH136091 AUGER,2
856321,3143 - A & I PRODUCTS   EXP,A-AH146554 AUGER,2
856325,3143 - A & I PRODUCTS   EXP,A-AH146214 AUGER,2
856327,3143 - A & I PRODUCTS   EXP,A-AH230013 AUGER,2
856329,3143 - A & I PRODUCTS   EXP,A-AH218485 AUGER,2
856360,3143 - A & I PRODUCTS   EXP,A-HXE84650 AUGER DRIVER,2
857451,3143 - A & I PRODUCTS   EXP,A-H142188 WOOD BLOCK BRG,2
857455,3143 - A & I PRODUCTS   EXP,A-AH163056 - STS SHOE BEARING ASSEMBLY,2
857460,3143 - A & I PRODUCTS   EXP,A-H137215 BEVELED GEAR,2
857461,3143 - A & I PRODUCTS   EXP,A-H211285 BEVELED GEAR,2
898012,3143 - A & I PRODUCTS   EXP,A-AH231386 SPROC,2
898403,3143 - A & I PRODUCTS   EXP,A-AH88982 TUBE,2
898404,3143 - A & I PRODUCTS   EXP,A-AH98300 TUBE,2
898500,3143 - A & I PRODUCTS   EXP,A-AH167433 SPOUT,2
899307,3143 - A & I PRODUCTS   EXP,A-1319908C1 HEAD,2
94660,3143 - A & I PRODUCTS   EXP,A-AR94660 NEW HYDRO PUMP,2
ALV-6,3143 - A & I PRODUCTS   EXP,A-ALV6 NYLON ADJ ARM,2
AP459,3143 - A & I PRODUCTS   EXP,A-AP459 - 3 PIN W/ PIGTAIL ,2
BFLV-8,3143 - A & I PRODUCTS   EXP,A-BFLV12 BLUNT LOUVRE,2
BLA9810,3143 - A & I PRODUCTS   EXP,A-BLA9810 LED BEACON SAFETY LIGHT,2
BRK7M,3143 - A & I PRODUCTS   EXP,A-BRK7M BRACKET KIT,2
CAM87,3143 - A & I PRODUCTS   EXP,A-CAM87 QUAD CAM CAMERA,2
CAP2,3143 - A & I PRODUCTS   EXP,A-CAP2 DUST CAP8,2
CBL2630,3143 - A & I PRODUCTS   EXP,A-CBL2630 JD 2630 ADAPTER,2
CBL4640,3143 - A & I PRODUCTS   EXP,A-CBL4640 JD 4640 DISPLAY ADAPTER,2
CBL6989,3143 - A & I PRODUCTS   EXP,A-CBL6989 CABCAM CABLE,2
CBL6R,3143 - A & I PRODUCTS   EXP,*A-CBL6R JD 6000R CABLE,2
CBL700,3143 - A & I PRODUCTS   EXP,A-CBL700 ADAPT HARNESS,2
CCT9M2CQ,3143 - A & I PRODUCTS   EXP,"A-HDS1650 - 9"" QUAD CABCAM SYSTEM",2
CLP-7,3143 - A & I PRODUCTS   EXP,A-CLP7 WIRE CLIP,2
CLV-5,3143 - A & I PRODUCTS   EXP,A-CLV5 NYLON BUSHING,2
CTB7M1C,3143 - A & I PRODUCTS   EXP,"A-HDS1304 7"" CABCAM KIT",2
CTB9M1C,3143 - A & I PRODUCTS   EXP,"A-HDS1508 9"" CABCAM KIT",2
DCW1,3143 - A & I PRODUCTS   EXP,ADAPTER,2
FP1138,3143 - A & I PRODUCTS   EXP,A-RE27667 REPL FUEL PUMP,2
GS3C,3143 - A & I PRODUCTS   EXP,A-GS3C CABLE,2
HD1080C,3143 - A & I PRODUCTS   EXP,A-HD1080C HD CABCAM CAMERA,2
HNS13P,3143 - A & I PRODUCTS   EXP,A-HNS13P CABCAM HARNESS,2
HNS22P,3143 - A & I PRODUCTS   EXP,A-HD22P HARNES,2
MC110S,3143 - A & I PRODUCTS   EXP,A-MC110S COMBINE CAMERA,2
MG539,3143 - A & I PRODUCTS   EXP,539 MAGNET,2
PVAKIT,3143 - A & I PRODUCTS   EXP,A-PVAKIT  POWER KIT,2
PVC10,3143 - A & I PRODUCTS   EXP,A-PVC10 10' CAMERA EXT CABLE,2
PVC20,3143 - A & I PRODUCTS   EXP,A-PVC20 20' EXT CABLE,2
PVC65,3143 - A & I PRODUCTS   EXP,A-PVC65 65' EXT CABLE,2
R0335,3143 - A & I PRODUCTS   EXP,4840 SIDE SCREEN,2
R2664,3143 - A & I PRODUCTS   EXP,7971 COVER,2
R2665,3143 - A & I PRODUCTS   EXP,A-R57970 COVER,2
R3094,3143 - A & I PRODUCTS   EXP,A-RE20662 DRAWB,2
R3098,3143 - A & I PRODUCTS   EXP,A-RE20663 DRAWB,2
R3100,3143 - A & I PRODUCTS   EXP,A-R61184 DRAWBAR,2
R3103,3143 - A & I PRODUCTS   EXP,A-R26584 STRAP,2
R3104,3143 - A & I PRODUCTS   EXP,A-R80447 HAMMER STRAP,2
R3105,3143 - A & I PRODUCTS   EXP,A-R88665 HAMMERSTRAP,2
R3106,3143 - A & I PRODUCTS   EXP,A-AR69988 DRAWBAR PIN,2
R3107,3143 - A & I PRODUCTS   EXP,A-R54064 PIN RETAINER,2
R3108,3143 - A & I PRODUCTS   EXP,A-R78214 HAMMERSTRAP,2
R3115,3143 - A & I PRODUCTS   EXP,RE575227/RE159503 HAMMERSTRAP ASSY,2
R3136,3143 - A & I PRODUCTS   EXP,A-R27710 - 3010 RH SWAYBLOCK,2
R3143,3143 - A & I PRODUCTS   EXP,A-R104902 LH SWAY BLOCK,2
R3144,3143 - A & I PRODUCTS   EXP,*A-R104901 RH SWAY BLOCK,2
R3303,3143 - A & I PRODUCTS   EXP,A-R26858 SPRING,2
R3892,3143 - A & I PRODUCTS   EXP,A-AR85335 RH BATTERY COVER,2
R4408,3143 - A & I PRODUCTS   EXP,A-T22875 STEERING WHEEL,2
RLP2057,3143 - A & I PRODUCTS   EXP,A-RLP2057 2 BOLT BRACKET,2
RLP2058,3143 - A & I PRODUCTS   EXP,A-RLP2058 THREADED PIPE BR,2
RLP2059,3143 - A & I PRODUCTS   EXP,A-RLP2059 PLAIN PIPE BRACKET,2
SPT1680,3143 - A & I PRODUCTS   EXP,A-1989587C2 KIT,2
TB121BK,3143 - A & I PRODUCTS   EXP,A-TB121BK TOUCH BUTTON BRK,2
TB22PH,3143 - A & I PRODUCTS   EXP,A-TB22PH 22 PIN HARNESS,2
TM7121,3143 - A & I PRODUCTS   EXP,A-HDM1242 DIG REPL MONITOR,2
TM9138,3143 - A & I PRODUCTS   EXP,"A-TM9138 9"" CABCAM MONITOR",2
TRM20,3143 - A & I PRODUCTS   EXP,A-TRM20 CABLE,2
VS1C110,3143 - A & I PRODUCTS   EXP,A-VS1C110 CAMERA,2
WBKIH3,3143 - A & I PRODUCTS   EXP,A-WBKIH3 WHEEL BRG KIT,2
WBKJD6,3143 - A & I PRODUCTS   EXP,A-WBKJD6 WHEEL BRG KIT,2
WBKJD7,3143 - A & I PRODUCTS   EXP,A-WBKJD7 JD WHEEL BRG KIT,2
WBKJD8,3143 - A & I PRODUCTS   EXP,A-WBKJD8 BEARING KIT,2
WL10E,3143 - A & I PRODUCTS   EXP,A-WL10E - SQUARE LED,2
WL20E,3143 - A & I PRODUCTS   EXP,A-WL20E - ROUND LED,2
WL30E,3143 - A & I PRODUCTS   EXP,A-WL30E - RECTANGLE LED,2
WL8000KT,3143 - A & I PRODUCTS   EXP,A-WL8000KT LED 12 LIGHT KIT,2
WL8930KT,3143 - A & I PRODUCTS   EXP,A-WL8930KT LED LIGHT KIT,2
WL9460KT,3143 - A & I PRODUCTS   EXP,A-WL9460KT LED LIGHT KIT,2
WL9570KT,3143 - A & I PRODUCTS   EXP,A-WL9570KT LED LIGHT KIT,2
WLV-4,3143 - A & I PRODUCTS   EXP,A-WLV4 SQUARE WIRE,2
474400,3144 - C R BROPHY MACHINE WORKS,4FLAT - TRAILER,2
477600,3144 - C R BROPHY MACHINE WORKS,6 POLE - TRAILER,2
477800,3144 - C R BROPHY MACHINE WORKS,7 POLE AG -IMPLEMENT END,2
478000,3144 - C R BROPHY MACHINE WORKS,7POLEAG -TRACTOR,2
478025,3144 - C R BROPHY MACHINE WORKS,7POLERV -VEHICLE,2
478050,3144 - C R BROPHY MACHINE WORKS,7POLERV -TRAILER,2
478500,3144 - C R BROPHY MACHINE WORKS,7 TO 4 ADAPTER,2
481500,3144 - C R BROPHY MACHINE WORKS,4 TO 7 ADAPTER,2
695908,3144 - C R BROPHY MACHINE WORKS,5/8X2 RECVR PIN,2
695911,3144 - C R BROPHY MACHINE WORKS,"1-7/8"" X 3/4"" HITCH BALL",2
695912,3144 - C R BROPHY MACHINE WORKS,"2""X1"" HITCH BALL",2
695913,3144 - C R BROPHY MACHINE WORKS,"""16"""" BALL""",2
695915,3144 - C R BROPHY MACHINE WORKS,"2""X1-1/4"" BALL",2
695916,3144 - C R BROPHY MACHINE WORKS,"""16"""" X 1"""" BAL""",2
695932,3144 - C R BROPHY MACHINE WORKS,"SD 3"" DROP HITCH",2
100710,3152 - AGMATE,101599 STANDARD S-TINE,2
100711,3152 - AGMATE,101600 HD STD S-TINE,2
100712,3152 - AGMATE,34630 HI-CLR S-TINE,2
100714,3152 - AGMATE,101602 HD HI-CLR TINE,2
100732,3152 - AGMATE,HD 2X2 CLAMP,2
100735,3152 - AGMATE,HD 2.5X2.5 CLAMP,2
100736,3152 - AGMATE,HD 3 X 3 CLAMP,2
108024,3152 - AGMATE,18X1-1/2 RD DISC PLAIN,2
108044,3152 - AGMATE,"20""112RD BLADE PLAIN",2
108045,3152 - AGMATE,"20""7GA112SQ DISC 80269",2
108150,3152 - AGMATE,"20""FC118 DISCBLADE 81327",2
108533,3152 - AGMATE,N20 1-1/2RD 80362,2
112004,3152 - AGMATE,"16""13W COULTER 76633",2
112007,3152 - AGMATE,"16""12WAVE COULTE 34275",2
113020,3152 - AGMATE,"17"" 13-WAVE COULTER 71814",2
113022,3152 - AGMATE,"17""BUBBLE YETTER 34285",2
113023,3152 - AGMATE,"17""BUBBLE JD 34281",2
113025,3152 - AGMATE,25 WAVE COULTER 72600,2
113029,3152 - AGMATE,"17"" 8-WAVE GP/YE 34278",2
113030,3152 - AGMATE,"17""FLUTED YET/GP",2
113032,3152 - AGMATE,"20"" DISC COULTER 76634",2
2006122,3152 - AGMATE,"106098 - 27"" HD TOP LINK",2
2095003,3152 - AGMATE,*SERIES 2 CROSS,2
2095005,3152 - AGMATE,ES 4 CROSS,2
2095320,3152 - AGMATE,SERIES 4 YOKE,2
2095335,3152 - AGMATE,32197 - SERIES 6 YOKE,2
31371,3152 - AGMATE,CROSS REPAIR KIT,2
31375,3152 - AGMATE,"1-3/8""PUSH PIN",2
31963,3152 - AGMATE,PTO ASSEMBLY,2
320200,3152 - AGMATE,90599 TOP LINK CYL,2
320210,3152 - AGMATE,84745 TOP LINK CYL,2
320220,3152 - AGMATE,90571 TOP LINK CYL,2
32192,3152 - AGMATE,SER 6 METRIC CRS,2
32193,3152 - AGMATE,CROSS REPAIR KI,2
32214,3152 - AGMATE,PTO ASSEMBLY,2
33029,3152 - AGMATE,PTO ASSEMBLY,2
33236,3152 - AGMATE,PTO ASSEMBLY,2
34195,3152 - AGMATE,PTO ASSEMBLY,2
35359,3152 - AGMATE,"""4""""PUSH PIN""",2
35796,3152 - AGMATE,PTO ASSEMBLY,2
39717,3152 - AGMATE,PTO ASSEMBLY,2
45902,3152 - AGMATE,45902 - PTO SHAFT,2
618,3152 - AGMATE,"16"" FURROWER",2
762905,3152 - AGMATE,"4 BOLT 16"" TIRE ON BLACK RIM",2
762906,3152 - AGMATE,"4 BOLT 21"" TIRE ON BLACK RIM",2
100370,3156 - SHIELD AGRICULTURAL EQUIPMENT   ,KSC-1298 NH3 SHANK - DMI,2
100375,3156 - SHIELD AGRICULTURAL EQUIPMENT   ,KSC-95 NH3 COIL SHANK,2
100744,3156 - SHIELD AGRICULTURAL EQUIPMENT   ,SELL 100745 INSTEAD,2
110019,3187 - DISTEL GRAIN SYSTEMS,KINZE FIBERGLASS BOX TOPPER BT-KZ2000,2
110020,3187 - DISTEL GRAIN SYSTEMS,JD7000 BOX TOPPER BT-JD7000,2
110023,3187 - DISTEL GRAIN SYSTEMS,JD7200 BOX TOPPER BT-JD7200,2
110026,3187 - DISTEL GRAIN SYSTEMS,E INSERT SED,2
110027,3187 - DISTEL GRAIN SYSTEMS,JD POLY TOPPER BT-JD1700P,2
110038,3187 - DISTEL GRAIN SYSTEMS,1200 SER BOX EXT,2
110172,3187 - DISTEL GRAIN SYSTEMS,KINZE POLY BOX TOPPER BT-KZ3000P,2
110450,3187 - DISTEL GRAIN SYSTEMS,"#TG, TRASH GUARD",2
80-10,3187 - DISTEL GRAIN SYSTEMS,"10""AUGER DOLLY",2
80-13,3187 - DISTEL GRAIN SYSTEMS,"13"" DOLLY WHEEL",2
80-8,3187 - DISTEL GRAIN SYSTEMS,"8""AUGER DOLLY",2
CC2,3187 - DISTEL GRAIN SYSTEMS,CAB CADDIE,2
COMB1416,3187 - DISTEL GRAIN SYSTEMS,CAB CADDIE,2
COMB20,3187 - DISTEL GRAIN SYSTEMS,COMBINE CADDIE,2
MC,3187 - DISTEL GRAIN SYSTEMS,MONITOR CADDIE,2
MS-10,3187 - DISTEL GRAIN SYSTEMS,"10"" MOUNT SET",2
MS-8,3187 - DISTEL GRAIN SYSTEMS,"8"" MOUNT SET",2
109551,3191 - KINZE MANUFACTURING-PARTS,G10504 - L.H. NUT,2
109552,3191 - KINZE MANUFACTURING-PARTS,G10503 - R.H. NUT,2
110002,3191 - KINZE MANUFACTURING-PARTS, DRIVE,2
110004,3191 - KINZE MANUFACTURING-PARTS,GA2019 BEARING BELT DRIVE,2
110005,3191 - KINZE MANUFACTURING-PARTS,GB0120 BUSHING IDLER,2
110006,3191 - KINZE MANUFACTURING-PARTS,GD1042 IDLER BELT DRIVE,2
110007,3191 - KINZE MANUFACTURING-PARTS,G10429101 HOUSING COVER,2
110008,3191 - KINZE MANUFACTURING-PARTS,GB0110 - BEARING HOUSING,2
110009,3191 - KINZE MANUFACTURING-PARTS, UP BRUSH,2
110010,3191 - KINZE MANUFACTURING-PARTS,GR1569 - PLATE W/BRUSH,2
110011,3191 - KINZE MANUFACTURING-PARTS,GD18704 - FINGER PICK-UP,2
110012,3191 - KINZE MANUFACTURING-PARTS,GD19790MPP - FINGER SPRINGS,2
110014,3191 - KINZE MANUFACTURING-PARTS,GD1083 CAGE NUT,2
110015,3191 - KINZE MANUFACTURING-PARTS,ER HOUSING,2
110016,3191 - KINZE MANUFACTURING-PARTS,GR1848MPP - FINGER WHEEL,2
110017,3191 - KINZE MANUFACTURING-PARTS,GA2058 - WHITE SEED HOPPER,2
110018,3191 - KINZE MANUFACTURING-PARTS,"GA4758 - LID,SEED HOPPER",2
110022,3191 - KINZE MANUFACTURING-PARTS,BEAN METER UNIT,2
110029,3191 - KINZE MANUFACTURING-PARTS,G7231X - FEED CUP METER,2
110030,3191 - KINZE MANUFACTURING-PARTS,GA2033 DRIVE BEAN,2
110031,3191 - KINZE MANUFACTURING-PARTS,GA2032 - HOUSING FEED,2
110033,3191 - KINZE MANUFACTURING-PARTS,GA2569 - SORGHUM MED CUP,2
110036,3191 - KINZE MANUFACTURING-PARTS,GD1073 - GUIDE SOYBEAN,2
110037,3191 - KINZE MANUFACTURING-PARTS,GD1124 - GUIDE M/MILO,2
110039,3191 - KINZE MANUFACTURING-PARTS,G10225 - SHIM FEED CUP,2
110044,3191 - KINZE MANUFACTURING-PARTS,GD1051L - LH BRACKET,2
110045,3191 - KINZE MANUFACTURING-PARTS,GD1051R - RH BRACKET,2
110046,3191 - KINZE MANUFACTURING-PARTS,GA2027 - RETAINER,2
110049,3191 - KINZE MANUFACTURING-PARTS,GA4822 METER DRIVE,2
110051,3191 - KINZE MANUFACTURING-PARTS,GB0108 - BEARING HOUSING,2
110052,3191 - KINZE MANUFACTURING-PARTS,GA2016 - BEARING PLATELES,2
110054,3191 - KINZE MANUFACTURING-PARTS,HANDLE,2
110055,3191 - KINZE MANUFACTURING-PARTS,GD10464MPP - SPRING PLATE,2
110056,3191 - KINZE MANUFACTURING-PARTS,PLANTER METER DRIVE COUPLER,2
110057,3191 - KINZE MANUFACTURING-PARTS,GD1036 - LEVER DRIVE,2
110059,3191 - KINZE MANUFACTURING-PARTS,"GA1720MPP DRIVE 7/8"" HEX",2
110062,3191 - KINZE MANUFACTURING-PARTS,GD1026 - IDLER BUSHING,2
110063,3191 - KINZE MANUFACTURING-PARTS,G10435MPP - SNAP-RING IDLER,2
110067,3191 - KINZE MANUFACTURING-PARTS,PER SUPPORT,2
110068,3191 - KINZE MANUFACTURING-PARTS,GA0811 - SHANK COVER,2
110073,3191 - KINZE MANUFACTURING-PARTS,"G10552 - 3/8""X2 PIN",2
110076,3191 - KINZE MANUFACTURING-PARTS,GA2036 - EYEBOLT,2
110083,3191 - KINZE MANUFACTURING-PARTS,GD8249MPP - D/P SPRING,2
110084,3191 - KINZE MANUFACTURING-PARTS,NG ANCHOR,2
110085,3191 - KINZE MANUFACTURING-PARTS,GD14217MPP - DETENT PIN,2
110087,3191 - KINZE MANUFACTURING-PARTS,GA24693 LOWER ARM,2
110091,3191 - KINZE MANUFACTURING-PARTS,GD2298 - SUPPORT,2
110092,3191 - KINZE MANUFACTURING-PARTS,"GD1113 - U-BOLT 7""X 6-1/2""",2
110095,3191 - KINZE MANUFACTURING-PARTS,GB0218MPP - BUSHING,2
110097,3191 - KINZE MANUFACTURING-PARTS,"GD1109MPP - BUSHING 1/4""",2
110098,3191 - KINZE MANUFACTURING-PARTS,GD10036 - MTG SUPPORT PLT,2
110125,3191 - KINZE MANUFACTURING-PARTS,G1K212 IDLERKIT,2
110129,3191 - KINZE MANUFACTURING-PARTS,G10013 HEX BOLT,2
110130,3191 - KINZE MANUFACTURING-PARTS,G1K272MPP - SHANK ASSEMBLY,2
110133,3191 - KINZE MANUFACTURING-PARTS,ING DEPTH,2
110139,3191 - KINZE MANUFACTURING-PARTS,GA2007 LATCH,2
110140,3191 - KINZE MANUFACTURING-PARTS,GA2012RMPP - RIGHT SCRAPER,2
110141,3191 - KINZE MANUFACTURING-PARTS,GA2012 LMPP - LEFT SCRAPER,2
110142,3191 - KINZE MANUFACTURING-PARTS,GB0254 - LEVER,2
110145,3191 - KINZE MANUFACTURING-PARTS,GD8460MPP SPRING,2
110149,3191 - KINZE MANUFACTURING-PARTS,GR1774MPP - SMALL END SM HOL,2
110150,3191 - KINZE MANUFACTURING-PARTS,GD1130 - SEEDTUBE W/OHOL,2
110153,3191 - KINZE MANUFACTURING-PARTS, GR1771 - SMALL END BIGHO,2
110163,3191 - KINZE MANUFACTURING-PARTS,GD30725MPP - SHIM,2
110189,3191 - KINZE MANUFACTURING-PARTS,GA6614MPP GAUGE WHEELARM,2
110201,3191 - KINZE MANUFACTURING-PARTS,G10216MPP WASHER,2
110203,3191 - KINZE MANUFACTURING-PARTS,G10526MPP - SHIMS,2
110225,3191 - KINZE MANUFACTURING-PARTS,G10861- BOLT CLOSING WHL,2
110232,3191 - KINZE MANUFACTURING-PARTS," GB0219 - 1""BUSH CLOSE/WH",2
110235,3191 - KINZE MANUFACTURING-PARTS,GB0233 STOP,2
110237,3191 - KINZE MANUFACTURING-PARTS,GB0268 WHEEL ARM STOP,2
110300,3191 - KINZE MANUFACTURING-PARTS,962 IDLER,2
110302,3191 - KINZE MANUFACTURING-PARTS,76 RH GA ARM,2
110303,3191 - KINZE MANUFACTURING-PARTS,G10038601MPP SCRAPER,2
110304,3191 - KINZE MANUFACTURING-PARTS,GD11279 LID,2
110305,3191 - KINZE MANUFACTURING-PARTS,GA9714 HOPPER,2
110306,3191 - KINZE MANUFACTURING-PARTS,GD36922 SEED BAFFLE,2
110307,3191 - KINZE MANUFACTURING-PARTS,GD15698 BOOT,2
110308,3191 - KINZE MANUFACTURING-PARTS,GD15699 BOOT,2
110309,3191 - KINZE MANUFACTURING-PARTS,GD11677 ADAPTER,2
110310,3191 - KINZE MANUFACTURING-PARTS,GA8641 HUB W/BRG,2
110312,3191 - KINZE MANUFACTURING-PARTS,30 ADAPT KIT,2
110313,3191 - KINZE MANUFACTURING-PARTS,GD8844 O-RING,2
110314,3191 - KINZE MANUFACTURING-PARTS,GD8843 WASHER,2
110315,3191 - KINZE MANUFACTURING-PARTS,89 HUB W/BRG,2
110316,3191 - KINZE MANUFACTURING-PARTS,GB0237 BLUE KINZE PLANTER HITCH,2
110317,3191 - KINZE MANUFACTURING-PARTS,GA13986 JACK,2
110318,3191 - KINZE MANUFACTURING-PARTS,G2100-03MPP BEARING,2
110319,3191 - KINZE MANUFACTURING-PARTS,GA9846MPP BEARING,2
110320,3191 - KINZE MANUFACTURING-PARTS,GA2180MPP BEARING,2
110321,3191 - KINZE MANUFACTURING-PARTS,GA7154 BEARING,2
110322,3191 - KINZE MANUFACTURING-PARTS,GA10157 SHANK,2
110323,3191 - KINZE MANUFACTURING-PARTS,GA5105 HALF RATE SPROCKET 15 TOOTH,2
110324,3191 - KINZE MANUFACTURING-PARTS,GA0167 OR GA26876 HUB W/CUP,2
110325,3191 - KINZE MANUFACTURING-PARTS,GD21540 SEAL,2
110326,3191 - KINZE MANUFACTURING-PARTS,GD10068 SHAFT,2
110327,3191 - KINZE MANUFACTURING-PARTS,GD1701 PIN,2
110328,3191 - KINZE MANUFACTURING-PARTS,GB0181 CLEVIS,2
110329,3191 - KINZE MANUFACTURING-PARTS,GR1184 SEAL KIT,2
110331,3191 - KINZE MANUFACTURING-PARTS,45 BEARING,2
110332,3191 - KINZE MANUFACTURING-PARTS,GA0257 BEARING,2
110334,3191 - KINZE MANUFACTURING-PARTS,GA5106 SPROCKET,2
110336,3191 - KINZE MANUFACTURING-PARTS,GA7372 CONTACT TIRE ARM,2
110337,3191 - KINZE MANUFACTURING-PARTS,516 WHEEL,2
